zh,cn,tw,hk,mo,sg,my,vn,ko,jp2,jp
漢字,中國,臺灣,香港,澳門,新加坡,馬來西亞,越南,韓國,琉球,日本
趙,Zhao,Chao,Chiu,Chio,Teo/Tio,Teoh/Chew/Tiew,Triệu,Jo/Cho,,
錢,Qian,Chien,Chin,Chin,Zee/Chee,Chien/Chen,Tiền,Joen/Chun,,
孫,Sun,Sun,Suen,Sun,Soon/Sng,Soon/Sun/Shun/Song/Tun,Tôn,Son,,
李,Li,Lee/Li,Li/Lee,Lei,Lee,Lee/Li,Lý,Lee/Rhee/Yi,,
周,Zhou,Chou,Chow/Chau,Chao,Chew,Chew/Cheu/Chou/Chow/Chiew,Chu/Châu,Ju/Chu,,
吳,Wu,Wu,Ng,Ng,Goh,Goh/Ng/Ngo/Ngu,Ngô,Oh,,
鄭,Zheng,Cheng,Cheng,Cheang,Tay,Ching/Tang/Tey/Tay/Tee/Teh/Cheng/Chin/Chang/Chung/Chiang,Trịnh,Jung/Jeong/Chung/Cheong,,
王,Wang,Wang,Wong,Vong/Wong,Ong/Heng/Wong/Wang,Ong/Heng/Wong/Wang/Bong/Ng,Vương,Wang,,
馮,Feng,Feng,Fung,Fong,Pang,Pang/Foong/Fung/Fong,Phùng,Pung,,
陳,Chen,Chen,Chan,Chan,Tan/Chan/Ting,Chan/Chin/Chen/Tan/Tang/Ting/Ding/Sin,Trần,Jin/Chin,,
褚,Chu,Chu,Chu,Chu,Thi/Soo,Too/Toh/Soo/Su,Trử,Cho/Jeo,,
衞,Wei,Wei,Wai,Wai,Wee,Wee/Wei,Vệ,Ui/Oui,,
蔣,Jiang,Chiang,Cheung,Cheong,Chio,Chio/Chiang/Cheong/Chiong,Tưởng,Jang/Chang,,
沈,Shen,Shen,Shum/Sum,Sam,Sim,Sim/Shim/Shun/Shum,Thẩm,Sim/Shim,,
韓,Han,Han,Hon,Hon,Hang,Hang/Hon/Hong,Hàn,Han,,
楊,Yang,Yang,Yeung,Ieong,Yeo/Yeoh/Yong,Yong/Yeo/Yeoh/Eow/Yeong/Yew/Ewu/Yu,Dương,Yang,,
朱,Zhu,Chu,Chu,Chu,Choo,Chu/Choo/Jee/Jeh/Chee,Châu/Chu,Chu/ Joo,,
秦,Qin,Chin,Chun,Chun,Chin/Ching,Chin/Chng/Ching,Tần,Jin/Chin,,
尤,You,Yu,Yau,Iao,Yew,Yew/You,Vưu,Woo/U,,
許,Xu,Hsu,Hui,Hoi/Hui,Hee/Koh/Khoh,Koh/Khu/Kho/Khoo/Khor/Khow/Hoo/Hooi/Khaw/Hii,Hứa,Heo/Huh/Hur,,
何,He,Ho,Ho,Ho,Hor/Hoh,Ho/Hoh/Hor,Hà,Ha,,
呂,Lu,Lu,Lui,Loi,Li,Loh/Lei/Lui/Lee,Lã/Lữ,Yeo/Ryeo,,
施,Shi,Shih,Sze,Si,Si/See,Si/See/Sii/Sih,Thi,Shi,,
張,Zhang,Chang,Cheung,Cheong,Teo/Teoh/Cheong,Cheong/Chong/Teo/Teoh/Chang/Tiong,Trương,Jang/Chang,,
孔,Kong,Kung,Hung,Hong,Khong,Kong/Khong/Kung,Khổng,Gong/Kong,,
曹,Cao,Tsao,Cho/Tso,Chou,Chow/Chau,Cheng/Choo/Cho/Chu/Chau/Chow,Tào,Cho/Jo,,
嚴,Yan,Yen,Yim,Im,Giam/Ngiam,Yam/Ngim/Giam/Ngiam,Nghiêm,Im,,
華,Hua,Hua,Wa/Wah,Va,Hoa/Hua,Wha/Wah/Wa/Hoa/Hua,Hoa,Hwa,,
金,Jin,Chin,Kam,Kam,Kim,Kim/King,Kim,Kim,Kin,
魏,Wei,Wei,Ngai,Ngai,Gui/Ngui,Ngui/Gui/Woi,Ngụy,Ui/Oui/Wi/Wie/Wee,,
陶,Tao,Tao,To,Tou,Tau/Tow,Tau/Tow/Tho/To/Too/Toh,Đào,Do/To,,
姜,Jiang,Chiang,Keung,Keong,Kiang,Kiang,Khương,Kang/Gang,,
戚,Qi,Chi,Chik,Chek,Chek,Chek,Thích,Cheok,,
謝,Xie,Hsieh,Tse,Che,Cheah/Tay/Chia,Cheah/Chiah/Chia/Seah/Sia/See/Tia,Tạ,Sa,,
鄒,Zou,Tsou,Chau/Chow,Chao/Chau,Chew/Chou/Chu,Chow/Chou,Trâu,Chu,,
喻,Yu,Yu,Yu,U,Zu/Joo/Ju,Yu/Yho/Yuh/Joo/Ju,Dụ,You/Yu,,
柏,Bai,Po,Pak,Pak,Pek/Peh,Pek/Peh,Bá,Paek/Baek,,
水,Shui,Shui,Sui,Soi,Chwee/Chui,Shu/Tshui/Chwee/Chui,Thủy,Soo/Su,,
竇,Dou,Tou,Tau,Tao,Tou/Toh,Tou/Toh,Đậu,Tu/Du,,
章,Zhang,Chang,Cheung,Cheong,Chio/Chioh/Cheoh,Cheong/Chong/Chioh/Tiong/Tong,Chương,Chang/Jang,,
雲,Yun,Yun,Wan,Wan/Van,Hoon/Hung,Hoon/Hung/Woon/Yung,Vân,win,,
蘇,Su,Su,So,Sou,Soh,Soh/Saw/Soo,Tô,so,,
潘,Pan,Pan,Poon/Pun,Pun,Phua,Phua/Pan/Pang/Phang,Phan,Ban,,
葛,Ge,Ko,Kot,Kot,Kat/Kuah,Ge,Cát,Gal,,
奚,Xi,Hsi,Hai,Hai,Hee,Hee,Hề,Hae,,
范,Fan,Fan,Fan,Fan,Huang,Huang/Fung/Fam/Fang,Phạm,Bum,,
彭,Peng,Peng,Pang,Pang,Peh,Peh/Peng/Pang/Phang,Bành,Paeng,,
郎,Lang,Lang,Long,Long,Long/Lang,Long/Lang,Lang,Lang,,
魯,Lu,Lu,Lo,Lou,Loo,Loo/Loh/Lu,Lỗ,Noh,,
韋,Wei,Wei,Wai,Wai,Wee,Wee/Wai/Wei/Vei,Vi,wei,,
昌,Chang,Chang,Cheung,Cheong,Chiang,Cheong/Chiang/Cang,Xương,chang,,
馬,Ma,Ma,Ma,Ma,Beh,Beh/Mah/Mha/Ma,Mã,Ma,Ba,
苗,Miao,Miao,Miu,Mio,Miau,Miau,Miêu,mya,,
鳳,Feng,Feng,Fung,Fong,Hong,Hong/Fong,Phụng/Phượng,bong,,
花,Hua,Hua,Fa,Fa,Huay,Huay/Faa/Fah/Fha,Hoa,hwa,,
方,Fang,Fang,Fong,Fong,Png/Pung,Pung/Fan/Fong/Phun/Huong,Phương,Bang,,
俞,Yu,Yu,Yu,U,Joo/Ju,Joo/Ju/Je/Yii,Du/Dũ,You/Yu,,
任,Ren,Jen,Yam,Iam,Zim/Jim,Yam/Ngam/Yim/Ngieng/Ngiam,Nhậm/Nhiệm,Rim/Yim,,
袁,Yuan,Yuan,Yuen,Un/Iun,Wang,Yuan/Yuen/Wang/Ngen,Viên,Won,,
柳,Liu,Liu,Lau,Lao,Lew,Liew/Liu/Lew,Liễu,You/Yu/Ryu,,
酆,Feng,Feng,Fung,Fong,Hong,Hong,Phong,peng,,
鮑,Bao,Pao,Pau,Pao,Pow/Pau,Pow/Pau,Bào,po,,
史,Shi,Shih,Sze,Si,Sze/Su/Ser,Sze/Su/Ser,Sử,Sa,,
唐,Tang,Tang,Tong,Tong,Tng/Tang,Tng/Tang/Thang/Tong/Thong,Đường,dang,,
費,Fei,Fei,Pei,Pei,Hwee/Hui,Hwee/Hui,Phí,pei,,
廉,Lian,Lien,Lim,Lim,Liam,Liam,Liêm,Yeom,,
岑,Cen,Tsen,Sum/Shum,Sam,Ngim,Ngim,Sầm,,,
薛,Xue,Hsueh,Sit,Sit,Sih,Sih/Sik/Sit/Silk,Tiết,Seol/Sul,,
雷,Lei,Lei,Lui,Loi,Lui,Loi/Lui/Looi/Lewe/Lei,Lôi,,,
賀,He,Ho,Ho,Ho,Hor,Hor/Hoo,Hạ,,,
倪,Ni,Ni,Ngai,Ngai,Geh/Goi,Geh/Goi/Nga/Ngam,Nghê,,,
湯,Tang,Tang,Tong,Tong,Tng,Thong/Tang/Thang,Thang,,,
滕,Teng,Teng,Tang,Tang,Teng/Theng,Teng/Theng,Đằng,,,
殷,Yin,Yin,Yan,Ian,Yam/Hng/Heung,Yam/Hng/Heung,Ân,,,
羅,Luo,Lo,Law/Lo,Lo,Lo/Lor/Law,Lo/Lor/Law/Loh,La,Rah/Na,,
畢,Bi,Pi,Put,Pat,Bik,Bik,Tất,,,
郝,Hao,Hao,Kok,Kok,How/Hak,How/Hak,Hác,,,
鄔,Wu,Wu,Wu,Vu / Wu,Woo,Woo/Voo/Woh/Wu/Vu,Ô,,,
安,An,An,On,On,Ann/Ang,Ann/Ang,An,An/Ahn,,
常,Chang,Chang,Sheung,Sheong,Seong/Siong/Sioh,Seong/Siong/Sioh,Thường,,,
